sl_zec_usdt,sl_baseline,n,wins,losses,win_rate,net_pnl,gross_win,gross_loss,profit_factor,avg_trade,median_trade,max_dd,long_n,short_n,avg_dur_bars
82.5,33.0,890,609,281,0.6843,15149.64,26060.56,10910.92,2.388,17.022,23.98,-582.09,458,432,3.7
55.0,22.0,918,606,312,0.6601,14904.47,26017.31,11112.84,2.341,16.236,23.98,-346.13,472,446,3.0
77.5,31.0,896,610,286,0.6808,14903.3,26069.18,11165.88,2.335,16.633,23.98,-633.4,462,434,3.6
47.5,19.0,923,598,325,0.6479,14878.1,25917.92,11039.83,2.348,16.119,23.98,-377.24,474,449,2.8
85.0,34.0,889,608,281,0.6839,14861.85,25989.02,11127.17,2.336,16.717,23.98,-604.59,457,432,3.8
67.5,27.0,898,605,293,0.6737,14855.12,25927.97,11072.85,2.342,16.542,23.98,-457.72,461,437,3.3
52.5,21.0,922,604,318,0.6551,14846.04,26091.25,11245.2,2.32,16.102,23.98,-407.24,474,448,2.9
50.0,20.0,923,601,322,0.6511,14838.22,25993.79,11155.56,2.33,16.076,23.98,-392.24,474,449,2.9
65.0,26.0,900,603,297,0.67,14790.82,25880.0,11089.19,2.334,16.434,23.98,-427.29,463,437,3.2
72.5,29.0,897,606,291,0.6756,14759.7,25973.18,11213.48,2.316,16.455,23.98,-583.41,461,436,3.4
80.0,32.0,893,608,285,0.6809,14752.5,26021.22,11268.72,2.309,16.52,23.98,-658.4,460,433,3.7
75.0,30.0,897,608,289,0.6778,14676.08,26021.22,11345.14,2.294,16.361,23.98,-608.4,461,436,3.5
60.0,24.0,911,605,306,0.6641,14668.89,25913.39,11244.5,2.305,16.102,23.98,-386.12,466,445,3.1
62.5,25.0,906,604,302,0.6667,14652.27,25922.69,11270.41,2.3,16.172,23.98,-406.12,464,442,3.1
57.5,23.0,916,605,311,0.6605,14648.16,26006.34,11358.18,2.29,15.991,23.98,-366.13,470,446,3.0
70.0,28.0,897,604,293,0.6734,14642.85,25840.78,11197.93,2.308,16.324,23.98,-558.41,461,436,3.4
45.0,18.0,924,596,328,0.645,14601.1,25838.49,11237.39,2.299,15.802,23.98,-419.81,474,450,2.7
15.0,6.0,928,535,393,0.5765,14571.04,23678.98,9107.93,2.6,15.702,23.98,-201.75,473,455,1.8
42.5,17.0,924,593,331,0.6418,14553.49,25681.35,11127.86,2.308,15.751,23.98,-508.02,474,450,2.7
87.5,35.0,886,606,280,0.684,14536.38,25778.75,11242.37,2.293,16.407,23.98,-736.5,456,430,3.9
90.0,36.0,886,606,280,0.684,14322.63,25778.75,11456.12,2.25,16.165,23.98,-758.99,456,430,3.9
40.0,16.0,927,590,337,0.6365,14183.09,25374.52,11191.43,2.267,15.3,23.98,-432.79,477,450,2.6
37.5,15.0,928,584,344,0.6293,14120.85,25285.5,11164.65,2.265,15.216,23.98,-405.52,477,451,2.5
92.5,37.0,884,605,279,0.6844,14098.4,25754.77,11656.36,2.21,15.948,23.98,-781.49,455,429,4.1
17.5,7.0,928,536,392,0.5776,14092.28,23719.21,9626.94,2.464,15.186,23.98,-224.24,473,455,1.9
97.5,39.0,880,607,273,0.6898,14066.02,25648.82,11582.8,2.214,15.984,23.98,-746.81,453,427,4.3
35.0,14.0,933,582,351,0.6238,14035.61,25250.03,11214.42,2.252,15.044,23.98,-424.09,478,455,2.4
32.5,13.0,934,577,357,0.6178,13910.42,25164.54,11254.12,2.236,14.893,23.98,-380.34,478,456,2.3
95.0,38.0,883,605,278,0.6852,13879.82,25641.49,11761.67,2.18,15.719,23.98,-803.99,454,429,4.2
20.0,8.0,929,542,387,0.5834,13876.68,23875.9,9999.22,2.388,14.937,23.98,-237.53,473,456,1.9
100.0,40.0,877,605,272,0.6899,13829.06,25600.86,11771.8,2.175,15.769,23.98,-764.31,450,427,4.4
30.0,12.0,934,568,366,0.6081,13532.75,24765.96,11233.21,2.205,14.489,23.98,-312.57,476,458,2.2
22.5,9.0,933,546,387,0.5852,13465.11,23981.79,10516.68,2.28,14.432,23.98,-260.03,475,458,2.0
27.5,11.0,932,557,375,0.5976,13382.04,24474.17,11092.13,2.206,14.358,23.98,-301.35,476,456,2.1
25.0,10.0,933,553,380,0.5927,13353.56,24179.47,10825.91,2.233,14.313,23.98,-282.52,476,457,2.1
