symbol,timeframe,fee_profile,n,net_pnl,profit_factor,max_dd,win_rate,avg_trade,largest_loss_streak,largest_loss_run_usdt,survived
ZEC,3m,blofin,1402,14171.62,1.98,-346.7,0.7033,10.108,6,-311.05,True
ZEC,3m,lighter,1402,26790.72,3.456,-258.0,0.7275,19.109,4,-258.0,True
ZEC,5m,blofin,1150,19948.51,3.45,-268.07,0.7539,17.347,5,-200.5,True
ZEC,5m,lighter,1150,30299.55,6.257,-173.5,0.7809,26.347,4,-173.5,True
ZEC,15m,blofin,478,19142.25,6.508,-187.0,0.8368,40.047,2,-187.0,True
ZEC,15m,lighter,478,23444.97,9.438,-169.0,0.8389,49.048,2,-169.0,True
SOL,3m,blofin,568,2540.96,1.433,-669.67,0.6567,4.474,7,-280.45,False
SOL,3m,lighter,568,7653.14,2.792,-359.42,0.706,13.474,7,-253.5,True
SOL,5m,blofin,520,4489.32,1.942,-286.3,0.6962,8.633,5,-214.1,True
SOL,5m,lighter,520,9170.31,3.649,-193.98,0.7365,17.635,4,-178.0,True
SOL,15m,blofin,334,6895.46,3.918,-160.33,0.7665,20.645,3,-120.56,True
SOL,15m,lighter,334,9901.88,6.789,-124.35,0.7934,29.646,3,-93.5,True
