sl_baseline_usdt,sl_effective_zec_usdt,n_trades,wins,win_rate,net_pnl_usdt,avg_pnl_usdt,median_pnl_usdt,max_dd_usdt,sl_hits,be_hits,trail_exits,ceiling_hits,unresolved
10,25.0,102,35,0.343,-42.86,-0.42,-2.169,-165.67,38,39,25,0,0
9,22.5,102,34,0.333,-45.04,-0.442,-2.169,-140.67,40,38,24,0,0
14,35.0,102,37,0.363,-71.51,-0.701,-2.169,-182.31,32,44,26,0,0
11,27.5,102,34,0.333,-74.36,-0.729,-2.169,-194.17,38,39,25,0,0
13,32.5,102,36,0.353,-81.51,-0.799,-2.169,-195.31,34,43,25,0,0
12,30.0,102,35,0.343,-85.36,-0.837,-2.169,-202.17,36,41,25,0,0
8,20.0,102,31,0.304,-91.04,-0.893,-2.169,-190.67,45,36,21,0,0
15,37.5,102,37,0.363,-102.51,-1.005,-2.169,-210.31,32,44,26,0,0
17,42.5,102,38,0.373,-119.89,-1.175,-2.169,-266.31,31,44,27,0,0
18,45.0,102,39,0.382,-133.39,-1.308,-2.169,-277.81,30,44,28,0,0
16,40.0,102,37,0.363,-133.51,-1.309,-2.169,-238.31,32,44,26,0,0
